"genus","family","order","W","V","H","N","K","p"
"Gibasoides","Commelinaceae","Commelinales",0,0,0,1,0,NA
"Gibbaeum","Aizoaceae","Caryophyllales",0,0,0,23,0,NA
"Gibbaria","Asteraceae","Asterales",0,0,0,1,0,NA
"Gibbsia","Urticaceae","Rosales",0,0,0,2,0,NA
"Gibsoniothamnus","Schlegeliaceae","Lamiales",0,0,0,12,0,NA
"Gigantochloa","Poaceae","Poales",0,0,0,55,0,NA
"Gigasiphon","Fabaceae","Fabales",0,0,0,4,0,NA
"Gilberta","Asteraceae","Asterales",0,0,1,1,1,0
"Gilbertiella","Annonaceae","Magnoliales",0,0,0,1,0,NA
"Gilbertiodendron","Fabaceae","Fabales",9,0,0,27,9,1
"Gilesia","Malvaceae","Malvales",0,0,0,1,0,NA
"Gilgiochloa","Poaceae","Poales",0,0,0,1,0,NA
"Gilia","Polemoniaceae","Ericales",0,0,2,40,2,0
"Giliastrum","Polemoniaceae","Ericales",0,0,2,9,2,0
"Gillbeea","Cunoniaceae","Oxalidales",1,0,0,3,1,1
"Gillespiea","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Gilletiodendron","Fabaceae","Fabales",3,0,0,5,3,1
"Gilliesia","Amaryllidaceae","Asparagales",0,0,1,7,1,0
"Gilmania","Polygonaceae","Caryophyllales",0,0,0,1,0,NA
"Gilruthia","Asteraceae","Asterales",0,0,1,1,1,0
"Ginalloa","Santalaceae","Santalales",1,0,0,9,1,1
"Gingidia","Apiaceae","Apiales",0,0,2,10,2,0
"Ginkgo","Ginkgoaceae","Ginkgoales",1,0,0,1,1,1
"Ginoria","Lythraceae","Myrtales",0,0,0,13,0,NA
"Girardinia","Urticaceae","Rosales",0,0,0,3,0,NA
"Girgensohnia","Amaranthaceae","Caryophyllales",0,0,1,5,1,0
"Gironniera","Cannabaceae","Rosales",4,0,0,6,4,1
"Gisekia","Gisekiaceae","Caryophyllales",0,0,0,7,0,NA
"Githopsis","Campanulaceae","Asterales",0,0,0,4,0,NA
"Givotia","Euphorbiaceae","Malpighiales",2,0,0,4,2,1
"Gjellerupia","Opiliaceae","Santalales",0,0,0,1,0,NA
"Gladiolus","Iridaceae","Asparagales",0,0,138,280,138,0
"Gladiopappus","Asteraceae","Asterales",0,0,0,1,0,NA
"Glandonia","Malpighiaceae","Malpighiales",1,0,0,3,1,1
"Glandora","Boraginaceae","UnknownOrder-Boraginaceae",0,0,1,6,1,0
"Glandularia","Verbenaceae","Lamiales",0,0,1,80,1,0
"Glaphyropteridopsis","Thelypteridaceae","Polypodiales",0,0,0,11,0,NA
"Glastaria","Brassicaceae","Brassicales",0,0,0,1,0,NA
"Glaucidium","Ranunculaceae","Ranunculales",0,0,1,1,1,0
"Glaucium","Papaveraceae","Ranunculales",0,0,2,25,2,0
"Glaucocarpum","Brassicaceae","Brassicales",0,1,0,1,0,NA
"Glaucosciadium","Apiaceae","Apiales",0,0,0,2,0,NA
"Glaziophyton","Poaceae","Poales",0,0,0,1,0,NA
"Gleadovia","Orobanchaceae","Lamiales",0,0,0,4,0,NA
"Gleasonia","Rubiaceae","Gentianales",0,0,0,5,0,NA
"Glebionis","Asteraceae","Asterales",0,0,0,2,0,NA
"Glechoma","Lamiaceae","Lamiales",0,0,1,8,1,0
"Glechon","Lamiaceae","Lamiales",0,0,0,8,0,NA
"Gleditsia","Fabaceae","Fabales",10,0,0,15,10,1
"Glehnia","Apiaceae","Apiales",0,0,1,1,1,0
"Gleichenella","Gleicheniaceae","Gleicheniales",0,0,0,1,0,NA
"Gleichenia","Gleicheniaceae","Gleicheniales",0,0,5,17,5,0
"Glekia","Scrophulariaceae","Lamiales",0,0,1,1,1,0
"Glenniea","Sapindaceae","Sapindales",1,0,0,8,1,1
"Glia","Apiaceae","Apiales",0,0,0,3,0,NA
"Glinus","Molluginaceae","Caryophyllales",0,0,0,10,0,NA
"Glionnetia","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Gliricidia","Fabaceae","Fabales",3,0,0,4,3,1
"Glischrocaryon","Haloragaceae","Saxifragales",0,0,0,5,0,NA
"Glischrocolla","Penaeaceae","Myrtales",1,0,0,1,1,1
"Glischrothamnus","Molluginaceae","Caryophyllales",0,0,0,1,0,NA
"Globba","Zingiberaceae","Zingiberales",0,0,3,98,3,0
"Globimetula","Loranthaceae","Santalales",1,0,0,13,1,1
"Globularia","Plantaginaceae","Lamiales",3,0,2,31,5,0.6
"Globulariopsis","Scrophulariaceae","Lamiales",0,0,0,7,0,NA
"Glochidion","Phyllanthaceae","Malpighiales",21,0,0,273,21,1
"Glochidotheca","Apiaceae","Apiales",0,0,0,1,0,NA
"Gloeocarpus","Sapindaceae","Sapindales",1,0,0,1,1,1
"Gloeospermum","Violaceae","Malpighiales",2,0,0,18,2,1
"Glomera","Orchidaceae","Asparagales",0,0,1,131,1,0
"Glomeropitcairnia","Bromeliaceae","Poales",0,0,2,2,2,0
"Gloriosa","Colchicaceae","Liliales",0,0,0,10,0,NA
"Glossarion","Asteraceae","Asterales",0,0,0,2,0,NA
"Glossocalyx","Siparunaceae","Laurales",1,0,0,1,1,1
"Glossocardia","Asteraceae","Asterales",0,0,0,12,0,NA
"Glossocarya","Lamiaceae","Lamiales",2,0,0,10,2,1
"Glossochilus","Acanthaceae","Lamiales",0,0,0,2,0,NA
"Glossodia","Orchidaceae","Asparagales",0,0,2,2,2,0
"Glossogyne","Asteraceae","Asterales",0,0,0,2,0,NA
"Glossoloma","Gesneriaceae","Lamiales",2,0,0,27,2,1
"Glossonema","Apocynaceae","Gentianales",0,0,0,4,0,NA
"Glossopappus","Asteraceae","Asterales",0,0,0,1,0,NA
"Glossopetalon","Crossosomataceae","Crossosomatales",2,0,0,4,2,1
"Glossostelma","Apocynaceae","Gentianales",0,0,0,12,0,NA
"Glossostemon","Malvaceae","Malvales",1,0,0,1,1,1
"Glossostigma","Phrymaceae","Lamiales",0,0,0,6,0,NA
"Glossostipula","Rubiaceae","Gentianales",1,0,0,3,1,1
"Glottidium","Fabaceae","Fabales",0,0,0,1,0,NA
"Glottiphyllum","Aizoaceae","Caryophyllales",0,0,0,19,0,NA
"Gloxinella","Gesneriaceae","Lamiales",0,0,0,1,0,NA
"Gloxinia","Gesneriaceae","Lamiales",0,0,1,4,1,0
"Gloxiniopsis","Gesneriaceae","Lamiales",0,0,0,1,0,NA
"Gluema","Sapotaceae","Ericales",1,0,0,2,1,1
"Glumicalyx","Scrophulariaceae","Lamiales",0,0,0,6,0,NA
"Gluta","Anacardiaceae","Sapindales",18,0,0,34,18,1
"Glyceria","Poaceae","Poales",0,0,13,47,13,0
"Glycine","Fabaceae","Fabales",1,0,4,16,5,0.2
"Glycinopsis","Fabaceae","Fabales",0,0,0,4,0,NA
"Glycosmis","Rutaceae","Sapindales",2,0,0,51,2,1
"Glycydendron","Euphorbiaceae","Malpighiales",1,0,0,2,1,1
"Glycyrrhiza","Fabaceae","Fabales",0,0,7,21,7,0
"Glycyrrhizopsis","Fabaceae","Fabales",0,0,0,1,0,NA
"Glyphaea","Malvaceae","Malvales",1,0,0,2,1,1
"Glyphochloa","Poaceae","Poales",0,0,0,9,0,NA
"Glyphotaenium","Polypodiaceae","Polypodiales",0,0,0,1,0,NA
"Glyptopetalum","Celastraceae","Celastrales",0,0,0,34,0,NA
"Glyptopleura","Asteraceae","Asterales",0,0,0,2,0,NA
"Glyptostrobus","Cupressaceae","Cupressales",1,0,0,1,1,1
"Gmelina","Lamiaceae","Lamiales",12,0,0,38,12,1
"Gnaphalium","Asteraceae","Asterales",0,0,4,122,4,0
"Gnephosis","Asteraceae","Asterales",0,0,2,17,2,0
"Gnetum","Gnetaceae","Gnetales",16,0,0,41,16,1
"Gnidia","Thymelaeaceae","Malvales",16,0,0,153,16,1
"Gnomophalium","Asteraceae","Asterales",0,0,0,1,0,NA
"Gochnatia","Asteraceae","Asterales",3,0,0,69,3,1
"Godmania","Bignoniaceae","Lamiales",1,0,0,2,1,1
"Godoya","Ochnaceae","Malpighiales",0,0,0,2,0,NA
"Goerkemia","Brassicaceae","Brassicales",0,0,0,1,0,NA
"Goethalsia","Malvaceae","Malvales",1,0,0,1,1,1
"Goetzea","Solanaceae","Solanales",2,0,0,2,2,1
"Goldbachia","Brassicaceae","Brassicales",0,0,1,7,1,0
"Goldmanella","Asteraceae","Asterales",0,0,0,1,0,NA
"Gomesa","Orchidaceae","Asparagales",0,0,1,124,1,0
"Gomidesia","Myrtaceae","Myrtales",0,0,0,1,0,NA
"Gomortega","Gomortegaceae","Laurales",1,0,0,1,1,1
"Gomphandra","Stemonuraceae","Aquifoliales",5,0,0,37,5,1
"Gomphia","Ochnaceae","Malpighiales",2,0,0,28,2,1
"Gomphichis","Orchidaceae","Asparagales",0,0,0,24,0,NA
"Gomphocalyx","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Gomphocarpus","Apocynaceae","Gentianales",0,0,2,21,2,0
"Gomphogyne","Cucurbitaceae","Cucurbitales",0,0,0,6,0,NA
"Gompholobium","Fabaceae","Fabales",6,0,0,35,6,1
"Gomphostemma","Lamiaceae","Lamiales",0,0,1,39,1,0
"Gomphostigma","Scrophulariaceae","Lamiales",0,0,1,2,1,0
"Gomphrena","Amaranthaceae","Caryophyllales",0,0,6,133,6,0
"Gonatogyne","Phyllanthaceae","Malpighiales",1,0,0,1,1,1
"Gonatopus","Araceae","Alismatales",0,0,2,5,2,0
"Gonatostylis","Orchidaceae","Asparagales",0,0,1,2,1,0
"Gongora","Orchidaceae","Asparagales",0,0,8,74,8,0
"Gongrodiscus","Sapindaceae","Sapindales",0,0,0,3,0,NA
"Gongronema","Apocynaceae","Gentianales",0,0,0,16,0,NA
"Gongrospermum","Sapindaceae","Sapindales",0,0,0,1,0,NA
"Gongrostylus","Asteraceae","Asterales",0,0,0,2,0,NA
"Gongrothamnus","Asteraceae","Asterales",0,0,0,1,0,NA
"Gongylocarpus","Onagraceae","Myrtales",0,0,0,2,0,NA
"Gongylolepis","Asteraceae","Asterales",0,0,0,15,0,NA
"Gongylosciadium","Apiaceae","Apiales",0,0,0,1,0,NA
"Gongylotaxis","Apiaceae","Apiales",0,0,0,1,0,NA
"Goniocaulon","Asteraceae","Asterales",0,0,0,1,0,NA
"Goniodiscus","Celastraceae","Celastrales",1,0,0,1,1,1
"Goniolimon","Plumbaginaceae","Caryophyllales",0,0,1,20,1,0
"Gonioma","Apocynaceae","Gentianales",1,0,0,2,1,1
"Goniophlebium","Polypodiaceae","Polypodiales",0,0,0,14,0,NA
"Goniopteris","Thelypteridaceae","Polypodiales",0,0,0,7,0,NA
"Goniorrhachis","Fabaceae","Fabales",1,0,0,1,1,1
"Goniostemma","Apocynaceae","Gentianales",0,0,0,2,0,NA
"Goniothalamus","Annonaceae","Magnoliales",10,0,0,133,10,1
"Gonocalyx","Ericaceae","Ericales",0,0,0,11,0,NA
"Gonocarpus","Haloragaceae","Saxifragales",1,0,4,42,5,0.2
"Gonocaryum","Cardiopteridaceae","Aquifoliales",2,0,0,11,2,1
"Gonocormus","Hymenophyllaceae","Hymenophyllales",0,0,0,2,0,NA
"Gonocrypta","Apocynaceae","Gentianales",0,0,0,1,0,NA
"Gonocytisus","Fabaceae","Fabales",1,0,0,3,1,1
"Gonolobus","Apocynaceae","Gentianales",0,0,0,132,0,NA
"Gonospermum","Asteraceae","Asterales",0,0,0,5,0,NA
"Gonostegia","Urticaceae","Rosales",0,0,0,4,0,NA
"Gonostemon","Apocynaceae","Gentianales",0,0,0,3,0,NA
"Gontscharovia","Lamiaceae","Lamiales",0,0,0,1,0,NA
"Gonystylus","Thymelaeaceae","Malvales",13,0,0,32,13,1
"Gonzalagunia","Rubiaceae","Gentianales",2,0,0,40,2,1
"Goodallia","Thymelaeaceae","Malvales",0,0,0,1,0,NA
"Goodenia","Goodeniaceae","Asterales",1,0,81,201,82,0.0121951219512195
"Goodia","Fabaceae","Fabales",1,0,0,2,1,1
"Goodmania","Polygonaceae","Caryophyllales",0,0,0,1,0,NA
"Goodyera","Orchidaceae","Asparagales",0,0,3,99,3,0
"Gorceixia","Asteraceae","Asterales",0,0,0,1,0,NA
"Gordonia","Theaceae","Ericales",12,0,0,62,12,1
"Gorgonidium","Araceae","Alismatales",0,0,3,8,3,0
"Gorodkovia","Brassicaceae","Brassicales",0,0,0,1,0,NA
"Gorteria","Asteraceae","Asterales",0,0,1,3,1,0
"Gosela","Scrophulariaceae","Lamiales",0,0,0,1,0,NA
"Gossia","Myrtaceae","Myrtales",5,0,0,37,5,1
"Gossweilera","Asteraceae","Asterales",0,0,0,2,0,NA
"Gossweilerodendron","Fabaceae","Fabales",2,0,0,2,2,1
"Gossypioides","Malvaceae","Malvales",1,0,0,2,1,1
"Gossypium","Malvaceae","Malvales",15,1,1,54,16,0.9375
"Gouania","Rhamnaceae","Rosales",3,0,0,73,3,1
"Gouinia","Poaceae","Poales",0,0,0,14,0,NA
"Goupia","Goupiaceae","Malpighiales",1,0,0,2,1,1
"Govenia","Orchidaceae","Asparagales",0,0,1,24,1,0
"Goyazia","Gesneriaceae","Lamiales",0,0,1,2,1,0
"Goyazianthus","Asteraceae","Asterales",0,0,0,1,0,NA
"Goydera","Apocynaceae","Gentianales",0,0,0,1,0,NA
"Grabowskia","Solanaceae","Solanales",1,0,0,5,1,1
"Graderia","Orobanchaceae","Lamiales",1,0,0,4,1,1
"Graellsia","Brassicaceae","Brassicales",0,0,1,8,1,0
"Graffenrieda","Melastomataceae","Myrtales",2,1,0,54,2,1
"Grafia","Apiaceae","Apiales",0,0,0,1,0,NA
"Grahamia","Anacampserotaceae","Caryophyllales",0,0,1,2,1,0
"Grajalesia","Nyctaginaceae","Caryophyllales",0,0,0,1,0,NA
"Grammangis","Orchidaceae","Asparagales",0,0,0,2,0,NA
"Grammatophyllum","Orchidaceae","Asparagales",0,0,1,12,1,0
"Grammatotheca","Campanulaceae","Asterales",0,0,1,1,1,0
"Grammica","Convolvulaceae","Solanales",0,0,0,14,0,NA
"Grammitis","Polypodiaceae","Polypodiales",0,0,0,112,0,NA
"Grammosciadium","Apiaceae","Apiales",0,0,0,8,0,NA
"Grammosolen","Solanaceae","Solanales",2,0,0,2,2,1
"Granatum","Meliaceae","Sapindales",0,0,0,1,0,NA
"Grandidiera","Achariaceae","Malpighiales",0,0,0,1,0,NA
"Grandiphyllum","Orchidaceae","Asparagales",0,0,0,7,0,NA
"Grangea","Asteraceae","Asterales",0,0,0,8,0,NA
"Grangeopsis","Asteraceae","Asterales",0,0,0,1,0,NA
"Grangeria","Chrysobalanaceae","Malpighiales",2,0,0,2,2,1
"Granitites","Rhamnaceae","Rosales",1,0,0,1,1,1
"Grantia","Asteraceae","Asterales",0,0,0,2,0,NA
"Graphandra","Acanthaceae","Lamiales",0,0,0,1,0,NA
"Graphephorum","Poaceae","Poales",0,0,0,2,0,NA
"Graphistemma","Apocynaceae","Gentianales",0,0,0,1,0,NA
"Graphistylis","Asteraceae","Asterales",1,0,0,9,1,1
"Graphorchis","Orchidaceae","Asparagales",0,0,0,2,0,NA
"Graphorkis","Orchidaceae","Asparagales",0,0,1,4,1,0
"Graptopetalum","Crassulaceae","Saxifragales",0,0,0,18,0,NA
"Graptophyllum","Acanthaceae","Lamiales",1,0,0,15,1,1
"Graptoveria","Crassulaceae","Saxifragales",0,0,0,2,0,NA
"Grastidium","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Gratiola","Plantaginaceae","Lamiales",0,0,7,28,7,0
"Gratwickia","Asteraceae","Asterales",0,0,0,1,0,NA
"Grauanthus","Asteraceae","Asterales",0,0,0,2,0,NA
"Gravesia","Melastomataceae","Myrtales",1,0,0,109,1,1
"Grayia","Amaranthaceae","Caryophyllales",1,0,0,3,1,1
"Grazielanthus","Monimiaceae","Laurales",0,0,0,1,0,NA
"Grazielia","Asteraceae","Asterales",1,0,0,10,1,1
"Grazielodendron","Fabaceae","Fabales",0,0,0,1,0,NA
"Greenea","Rubiaceae","Gentianales",0,0,0,9,0,NA
"Greeniopsis","Rubiaceae","Gentianales",0,0,0,6,0,NA
"Greenmaniella","Asteraceae","Asterales",1,0,0,1,1,1
"Greenwayodendron","Annonaceae","Magnoliales",2,0,0,2,2,1
"Greigia","Bromeliaceae","Poales",0,0,2,35,2,0
"Grenacheria","Primulaceae","Ericales",0,0,0,12,0,NA
"Greslania","Poaceae","Poales",0,0,0,4,0,NA
"Grevea","Montiniaceae","Solanales",0,0,0,3,0,NA
"Grevillea","Proteaceae","Proteales",355,0,0,372,355,1
"Grewia","Malvaceae","Malvales",28,0,0,321,28,1
"Greyia","Melianthaceae","Geraniales",1,0,0,3,1,1
"Grias","Lecythidaceae","Ericales",5,0,0,9,5,1
"Grielum","Neuradaceae","Malvales",0,0,1,4,1,0
"Griffinia","Amaryllidaceae","Asparagales",0,0,2,21,2,0
"Griffithsochloa","Poaceae","Poales",0,0,0,1,0,NA
"Griffonia","Fabaceae","Fabales",0,0,0,4,0,NA
"Grimaldia","Fabaceae","Fabales",0,0,0,1,0,NA
"Grimmeodendron","Euphorbiaceae","Malpighiales",1,0,0,2,1,1
"Grindelia","Asteraceae","Asterales",1,0,0,65,1,1
"Grisebachia","Ericaceae","Ericales",0,0,0,8,0,NA
"Grisebachianthus","Asteraceae","Asterales",0,0,0,8,0,NA
"Griselinia","Cornaceae","Cornales",4,0,0,7,4,1
"Grisollea","Stemonuraceae","Aquifoliales",0,0,0,2,0,NA
"Grobya","Orchidaceae","Asparagales",0,0,1,5,1,0
"Groenlandia","Potamogetonaceae","Alismatales",0,0,1,1,1,0
"Gronovia","Loasaceae","Cornales",0,0,1,2,1,0
"Grosourdya","Orchidaceae","Asparagales",0,0,1,11,1,0
"Grossera","Euphorbiaceae","Malpighiales",1,0,0,8,1,1
"Grossularia","Grossulariaceae","Saxifragales",0,0,0,1,0,NA
"Grosvenoria","Asteraceae","Asterales",0,0,0,7,0,NA
"Grubbia","Grubbiaceae","Cornales",3,0,0,3,3,1
"Grusonia","Cactaceae","Caryophyllales",0,0,0,3,0,NA
"Guacamaya","Rapateaceae","Poales",0,0,1,1,1,0
"Guadua","Poaceae","Poales",2,0,0,27,2,1
"Guaduella","Poaceae","Poales",0,0,0,7,0,NA
"Guaiacum","Zygophyllaceae","Zygophyllales",3,0,0,5,3,1
"Guanchezia","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Guapira","Nyctaginaceae","Caryophyllales",7,0,0,69,7,1
"Guardiola","Asteraceae","Asterales",0,0,1,14,1,0
"Guarea","Meliaceae","Sapindales",34,0,0,72,34,1
"Guarianthe","Orchidaceae","Asparagales",0,0,2,5,2,0
"Guatteria","Annonaceae","Magnoliales",96,0,0,254,96,1
"Guayania","Asteraceae","Asterales",0,0,0,6,0,NA
"Guazuma","Malvaceae","Malvales",2,0,0,3,2,1
"Gueldenstaedtia","Fabaceae","Fabales",0,0,0,12,0,NA
"Guettarda","Rubiaceae","Gentianales",14,0,0,158,14,1
"Guevaria","Asteraceae","Asterales",0,0,0,5,0,NA
"Guianodendron","Fabaceae","Fabales",0,0,0,1,0,NA
"Guibourtia","Fabaceae","Fabales",10,0,0,16,10,1
"Guichenotia","Malvaceae","Malvales",1,0,0,17,1,1
"Guiera","Combretaceae","Myrtales",1,0,0,1,1,1
"Guihaia","Arecaceae","Arecales",1,0,0,2,1,1
"Guihaiothamnus","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Guilandina","Fabaceae","Fabales",0,0,0,3,0,NA
"Guilfoylia","Surianaceae","Fabales",1,0,0,1,1,1
"Guillandinodes","Fabaceae","Fabales",0,0,0,1,0,NA
"Guilleminea","Amaranthaceae","Caryophyllales",0,0,1,8,1,0
"Guillenia","Brassicaceae","Brassicales",0,0,0,3,0,NA
"Guillonea","Apiaceae","Apiales",0,0,0,1,0,NA
"Guindilia","Sapindaceae","Sapindales",1,0,0,3,1,1
"Guinetia","Fabaceae","Fabales",0,0,0,1,0,NA
"Guioa","Sapindaceae","Sapindales",9,0,0,73,9,1
"Guiraoa","Brassicaceae","Brassicales",0,0,0,1,0,NA
"Guizotia","Asteraceae","Asterales",0,0,0,9,0,NA
"Gundelia","Asteraceae","Asterales",0,0,1,2,1,0
"Gundlachia","Asteraceae","Asterales",0,0,0,9,0,NA
"Gunillaea","Campanulaceae","Asterales",0,0,0,2,0,NA
"Gunnarella","Orchidaceae","Asparagales",0,0,1,9,1,0
"Gunnera","Gunneraceae","Gunnerales",0,0,13,69,13,0
"Gunnessia","Apocynaceae","Gentianales",0,0,0,1,0,NA
"Gunniopsis","Aizoaceae","Caryophyllales",0,0,0,13,0,NA
"Gurania","Cucurbitaceae","Cucurbitales",3,0,1,72,4,0.75
"Guraniopsis","Cucurbitaceae","Cucurbitales",0,0,1,1,1,0
"Gustavia","Lecythidaceae","Ericales",27,0,0,41,27,1
"Gutenbergia","Asteraceae","Asterales",0,0,1,27,1,0
"Guthriea","Achariaceae","Malpighiales",0,0,1,1,1,0
"Gutierrezia","Asteraceae","Asterales",1,0,1,33,2,0.5
"Guynesomia","Asteraceae","Asterales",0,0,0,1,0,NA
"Guyonia","Melastomataceae","Myrtales",0,0,0,1,0,NA
"Guzmania","Bromeliaceae","Poales",0,0,16,218,16,0
"Gyminda","Celastraceae","Celastrales",1,0,0,4,1,1
"Gymnacranthera","Myristicaceae","Magnoliales",4,0,0,7,4,1
"Gymnadenia","Orchidaceae","Asparagales",0,0,2,34,2,0
"Gymnaglossum","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Gymnanacamptis","Orchidaceae","Asparagales",0,0,0,2,0,NA
"Gymnanthemum","Asteraceae","Asterales",1,0,0,38,1,1
"Gymnanthera","Apocynaceae","Gentianales",1,0,0,2,1,1
"Gymnanthes","Euphorbiaceae","Malpighiales",7,0,0,25,7,1
"Gymnarrhena","Asteraceae","Asterales",0,0,1,1,1,0
"Gymnaster","Asteraceae","Asterales",0,0,0,2,0,NA
"Gymnema","Apocynaceae","Gentianales",0,0,0,51,0,NA
"Gymnemopsis","Apocynaceae","Gentianales",0,0,0,2,0,NA
"Gymnocalycium","Cactaceae","Caryophyllales",0,0,0,77,0,NA
"Gymnocarpium","Cystopteridaceae","Polypodiales",0,0,2,9,2,0
"Gymnocarpos","Caryophyllaceae","Caryophyllales",1,0,0,11,1,1
"Gymnocladus","Fabaceae","Fabales",2,0,0,5,2,1
"Gymnocondylus","Asteraceae","Asterales",0,0,0,1,0,NA
"Gymnocoronis","Asteraceae","Asterales",0,0,0,5,0,NA
"Gymnodiscus","Asteraceae","Asterales",0,0,1,3,1,0
"Gymnogramma","Pteridaceae","Polypodiales",0,0,0,9,0,NA
"Gymnogrammitis","Polypodiaceae","Polypodiales",0,0,0,1,0,NA
"Gymnolaena","Asteraceae","Asterales",0,0,0,3,0,NA
"Gymnolomia","Asteraceae","Asterales",0,0,0,4,0,NA
"Gymnopentzia","Asteraceae","Asterales",0,0,0,1,0,NA
"Gymnopetalum","Cucurbitaceae","Cucurbitales",0,0,0,4,0,NA
"Gymnophragma","Acanthaceae","Lamiales",0,0,0,1,0,NA
"Gymnophyton","Apiaceae","Apiales",1,0,0,6,1,1
"Gymnopodium","Polygonaceae","Caryophyllales",1,0,0,2,1,1
"Gymnopogon","Poaceae","Poales",0,0,2,14,2,0
"Gymnopsis","Asteraceae","Asterales",0,0,0,1,0,NA
"Gymnopteris","Pteridaceae","Polypodiales",0,0,0,1,0,NA
"Gymnoschoenus","Cyperaceae","Poales",0,0,1,2,1,0
"Gymnosiphon","Burmanniaceae","Dioscoreales",0,0,1,30,1,0
"Gymnospermium","Berberidaceae","Ranunculales",0,0,1,13,1,0
"Gymnosphaera","Cyatheaceae","Cyatheales",0,0,0,20,0,NA
"Gymnosporia","Celastraceae","Celastrales",6,0,0,102,6,1
"Gymnostachys","Araceae","Alismatales",0,0,1,1,1,0
"Gymnostachyum","Acanthaceae","Lamiales",0,0,0,50,0,NA
"Gymnostemon","Simaroubaceae","Sapindales",1,0,0,1,1,1
"Gymnostephium","Asteraceae","Asterales",0,0,0,8,0,NA
"Gymnosteris","Polemoniaceae","Ericales",0,0,0,2,0,NA
"Gymnostoma","Casuarinaceae","Fagales",14,0,0,14,14,1
"Gymnotheca","Saururaceae","Piperales",0,0,2,3,2,0
"Gymnotraunsteinera","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Gymplatanthera","Orchidaceae","Asparagales",0,0,0,2,0,NA
"Gynandropsis","Cleomaceae","Brassicales",0,0,0,2,0,NA
"Gynerium","Poaceae","Poales",0,0,1,1,1,0
"Gynocardia","Achariaceae","Malpighiales",1,0,0,1,1,1
"Gynochthodes","Rubiaceae","Gentianales",2,0,0,22,2,1
"Gynocraterium","Acanthaceae","Lamiales",0,0,0,1,0,NA
"Gynoglottis","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Gynophorea","Brassicaceae","Brassicales",0,0,0,1,0,NA
"Gynostemma","Cucurbitaceae","Cucurbitales",0,0,1,19,1,0
"Gynotroches","Rhizophoraceae","Malpighiales",1,0,0,1,1,1
"Gynoxys","Asteraceae","Asterales",0,0,0,128,0,NA
"Gynura","Asteraceae","Asterales",0,0,0,46,0,NA
"Gypothamnium","Asteraceae","Asterales",0,0,0,1,0,NA
"Gypsacanthus","Acanthaceae","Lamiales",0,0,0,1,0,NA
"Gypsophila","Caryophyllaceae","Caryophyllales",0,0,2,152,2,0
"Gyptidium","Asteraceae","Asterales",0,0,0,2,0,NA
"Gyptis","Asteraceae","Asterales",0,0,0,7,0,NA
"Gyrandra","Daphniphyllaceae","Saxifragales",0,0,0,5,0,NA
"Gyranthera","Malvaceae","Malvales",1,0,0,2,1,1
"Gyrinops","Thymelaeaceae","Malvales",0,0,0,9,0,NA
"Gyrocarpus","Hernandiaceae","Laurales",2,0,0,5,2,1
"Gyrocaryum","Boraginaceae","UnknownOrder-Boraginaceae",0,0,0,1,0,NA
"Gyrocheilos","Gesneriaceae","Lamiales",0,0,0,4,0,NA
"Gyrodoma","Asteraceae","Asterales",0,0,0,1,0,NA
"Gyrogyne","Gesneriaceae","Lamiales",0,0,0,1,0,NA
"Gyroptera","Amaranthaceae","Caryophyllales",0,0,0,3,0,NA
"Gyrosorium","Polypodiaceae","Polypodiales",0,0,0,1,0,NA
"Gyrostachys","Orchidaceae","Asparagales",0,0,0,1,0,NA
"Gyrostemon","Gyrostemonaceae","Brassicales",7,0,0,13,7,1
"Gyrostipula","Rubiaceae","Gentianales",1,0,0,3,1,1
"Gyrotaenia","Urticaceae","Rosales",2,0,0,5,2,1
"Haageocereus","Cactaceae","Caryophyllales",0,0,0,29,0,NA
"Haastia","Asteraceae","Asterales",0,0,0,4,0,NA
"Habenaria","Orchidaceae","Asparagales",0,0,5,837,5,0
"Haberlea","Gesneriaceae","Lamiales",0,0,0,1,0,NA
"Habracanthus","Acanthaceae","Lamiales",0,0,0,14,0,NA
"Habranthus","Amaryllidaceae","Asparagales",0,0,3,83,3,0
"Habrochloa","Poaceae","Poales",0,0,0,1,0,NA
"Habroneuron","Rubiaceae","Gentianales",0,0,0,1,0,NA
"Habropetalum","Dioncophyllaceae","Caryophyllales",0,0,0,1,0,NA
"Hackelia","Boraginaceae","UnknownOrder-Boraginaceae",0,0,0,50,0,NA
"Hackelochloa","Poaceae","Poales",0,0,0,2,0,NA
"Hacquetia","Apiaceae","Apiales",0,0,0,1,0,NA
"Haeckeria","Asteraceae","Asterales",0,0,0,3,0,NA
"Haegiela","Asteraceae","Asterales",0,0,0,1,0,NA
"Haemanthus","Amaryllidaceae","Asparagales",0,0,1,22,1,0
"Haematodendron","Myristicaceae","Magnoliales",1,0,0,1,1,1
"Haematostaphis","Anacardiaceae","Sapindales",1,0,0,1,1,1
